Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2004,156,1,76,"H2","1201",8,5615936512,5615936512,2077112173,0
2004,156,1,124,"H2","1201",8,12978145,12978145,4360834,0
2004,156,1,156,"H2","1201",8,5000,5000,1218,0
2004,156,1,392,"H2","1201",8,913,913,10799,0
2004,156,1,410,"H2","1201",8,36007,36007,28453,0
2004,156,1,490,"H2","1201",8,1,1,42,0
2004,156,1,643,"H2","1201",8,532280,532280,133070,0
2004,156,1,710,"H2","1201",8,30,30,608,0
2004,156,1,842,"H2","1201",8,10197760000,10197760000,3348872055,0
2005,156,1,0,"H2","1201",8,26589956901,26589956901,7778317407,0
2005,156,1,32,"H2","1201",8,7396254248,7396254248,2179237332,0
2005,156,1,76,"H2","1201",8,7951711232,7951711232,2380888476,0
2005,156,1,124,"H2","1201",8,12583454,12583454,4520444,0
2005,156,1,344,"H2","1201",8,52200,52200,25839,0
2005,156,1,392,"H2","1201",8,156640,156640,40785,0
2005,156,1,408,"H2","1201",8,79200,79200,11880,0
2005,156,1,490,"H2","1201",8,1017,1017,7167,0
2005,156,1,643,"H2","1201",8,60000,60000,15000,0
2005,156,1,699,"H2","1201",8,5150,5150,4012,0
2005,156,1,724,"H2","1201",8,4000,4000,3716,0
2005,156,1,842,"H2","1201",8,11047873536,11047873536,3160216077,0
2005,156,1,858,"H2","1201",8,181176224,181176224,53346679,0
2006,156,1,0,"H2","1201",8,28236900992,28236900992,7488868339,0
2006,156,1,32,"H2","1201",8,6216547870,6216547870,1619240600,0
2006,156,1,76,"H2","1201",8,11620226048,11620226048,3019698493,0
2006,156,1,124,"H2","1201",8,12907935,12907935,4626925,0
2006,156,1,392,"H2","1201",8,17,17,5,0
2006,156,1,410,"H2","1201",8,20000,20000,3230,0
2006,156,1,490,"H2","1201",8,2068,2068,4219,0
2006,156,1,842,"H2","1201",8,9883524894,9883524894,2718559449,0
2006,156,1,858,"H2","1201",8,503672160,503672160,126735418,0
2001,156,1,0,"H1","1201",8,13939478986,13939478986,2809521969,0
2001,156,1,32,"H1","1201",8,5020379568,5020379568,985539006,0
2001,156,1,76,"H1","1201",8,3160289024,3160289024,619592960,0
2001,156,1,124,"H1","1201",8,17037314,17037314,5656069,0
2001,156,1,156,"H1","1201",8,38950,38950,6699,0
2001,156,1,344,"H1","1201",8,28485,28485,3429,0
2001,156,1,392,"H1","1201",8,21218,21218,22288,0
2001,156,1,408,"H1","1201",8,65000,65000,9320,0
2001,156,1,410,"H1","1201",8,20000,20000,3160,0
2001,156,1,490,"H1","1201",8,2801,2801,5679,0
2001,156,1,643,"H1","1201",8,15208530,15208530,2736560,0
2001,156,1,842,"H1","1201",8,5726388096,5726388096,1195946799,0


